User,Gender,Term,Course,GPA,Grade_Percent_Reg,BTE_Quad_Reg,Grade_Want,Confidence,Reason_Physics_req,Reason_Concentration_req,Reason__Grad_req,Reason_NS_Credit,Reason_Interest,Hours_Exam_Study,Hours_Outside_Study,Hours_MP_Study,Behavior_Goal_Homework,Behavior_Goal_Lecture,Behavior_Goal_Exam,Helproom,Office_Hours,CSP,Partner,Partner_Exam_1_Response,SLC,SLC_Interest,ECoach_Change_Behavior,HS_Math,SAT_Math,ACT_Math,HS_Physics,AP_Exam_B,AP_Exam_C_Mech,AP_Exam_C_EM,AP_Exam_IDK,AP_Exam_No,AP_B_Score,AP_C_Mech_Score,AP_C_EM_Score,Semesters_Completed,College,Minor_or_Major,Concentrate_Engineering,Concentrate_Physics,Concentrate_Chemistry,Concentrate_Biology,Concentrate_Biology_MCDB,Concentrate_Biology_EEB,Concentrate_Health,Concentrate_Humanities,Concentrate_Math,Concentrate_Neurosci,Concentrate_Social_Science_not_Psych,Concentrate_Psych_BBCS,Concentrate_IDK,Post_College,Employment,Parent_Ed,Memorize_personal,Math_Confidence,Trust_Calculation,Hard_work_personal_cant_solve,Innate,Memorize_general,Recall_Formula,Apply_Principles,Hard_work_personal_understand,Values_Aff_Art,Values_Aff_Creativity,Values_Aff_Relationships,Values_Aff_Government,Values_Aff_Independence,Values_Aff_Learning,Values_Aff_Athletic,Values_Aff_Social,Values_Aff_Music,Values_Aff_Career,Values_Aff_Spiritual,Values_Aff_Humor,Involved_In_Greek,Involved_In_Sports,Involved_In_Religious,Involved_In_Research,Involved_In_Volunteering,Involved_In_Music_Art,Involved_In_Other,Enrolled,Sum_Clicks_All,Weeks_Visited_All,filter_$,UserGroups,UserGroups_onlyusers
fid_4247,0,0,135,4.0,94.0,.3,null,null,null,null,null,null,null,null,null,null,none,none,none,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0,4,1,0,0,null
fid_5276,0,0,135,3.56,90.0,.9,null,null,null,null,null,null,null,null,null,null,none,none,none,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0,1,1,0,0,null
fid_2203,0,0,135,3.23,77.0,.2,null,null,null,null,null,null,null,null,null,null,none,none,none,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0,4,1,0,0,null
fid_5454,0,0,135,3.03,87.0,1.5,null,null,null,null,null,null,null,null,null,null,none,none,none,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0,1,1,0,0,null
fid_4012,0,0,135,3.49,86.0,.6,null,null,null,null,null,null,null,null,null,null,none,none,none,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0,2,1,0,0,null
fid_2149,0,0,135,3.62,83.0,.3,null,null,null,null,null,null,null,null,null,null,none,none,none,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0,5,1,0,0,null
fid_4371,0,0,135,3.01,72.0,.1,null,null,null,null,null,null,null,null,null,null,none,none,none,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0,1,1,0,0,null
fid_3204,0,0,135,3.85,89.0,.2,null,null,null,null,null,null,null,null,null,null,none,none,none,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0,1,1,0,0,null
fid_2939,0,0,135,2.97,61.0,-1.4,null,null,null,null,null,null,null,null,null,null,none,none,none,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0,3,1,0,0,null
fid_2313,0,0,135,3.7,87.0,.6,null,null,null,null,null,null,null,null,null,null,none,none,none,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0,1,1,0,0,null
fid_4054,0,0,135,2.96,66.0,-.4,null,null,null,null,null,null,null,null,null,null,none,none,none,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0,1,1,0,0,null
fid_4170,0,0,135,3.52,87.0,.5,null,null,null,null,null,null,null,null,null,null,none,none,none,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0,1,1,0,0,null
fid_3625,0,0,140,3.67,85.0,-.1,null,null,null,null,null,null,null,null,null,null,none,none,none,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0,2,1,0,0,null
fid_2700,0,0,240,3.98,77.0,-1.2,null,null,null,null,null,null,null,null,null,null,none,none,none,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0,2,1,0,0,null
fid_2948,0,0,235,4.0,79.0,-1.2,null,null,null,null,null,null,null,null,null,null,none,none,none,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0,0,0,0,0,null
fid_5523,0,0,235,3.49,72.0,-.8,null,null,null,null,null,null,null,null,null,null,none,none,none,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0,0,0,0,0,null
fid_3811,0,0,235,3.83,83.0,.3,null,null,null,null,null,null,null,null,null,null,none,none,none,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0,0,0,0,0,null
fid_3641,0,0,235,3.25,null,null,null,null,null,null,null,null,null,null,null,null,none,none,none,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0,0,0,0,0,null
fid_4830,0,0,235,3.02,85.0,2.3,null,null,null,null,null,null,null,null,null,null,none,none,none,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0,0,0,0,0,null
fid_2789,0,0,235,3.5,79.0,.7,null,null,null,null,null,null,null,null,null,null,none,none,none,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0,0,0,0,0,null
fid_3482,0,0,235,3.08,63.0,-.9,null,null,null,null,null,null,null,null,null,null,none,none,none,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0,0,0,0,0,null
fid_5309,0,0,235,3.53,70.0,-.9,null,null,null,null,null,null,null,null,null,null,none,none,none,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0,0,0,0,0,null
fid_3879,0,0,235,3.78,76.0,-.5,null,null,null,null,null,null,null,null,null,null,none,none,none,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0,0,0,0,0,null
fid_2256,0,0,235,2.28,35.0,-1.7,null,null,null,null,null,null,null,null,null,null,none,none,none,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0,0,0,0,0,null
fid_3383,0,0,235,3.5,67.0,-1.3,null,null,null,null,null,null,null,null,null,null,none,none,none,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0,0,0,0,0,null
fid_3764,0,0,235,0.0,91.0,null,null,null,null,null,null,null,null,null,null,null,none,none,none,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0,0,0,0,0,null
fid_2769,0,0,235,3.66,76.0,-.7,null,null,null,null,null,null,null,null,null,null,none,none,none,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0,0,0,0,0,null
fid_4806,0,0,235,3.76,74.0,-1,null,null,null,null,null,null,null,null,null,null,none,none,none,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0,0,0,0,0,null
fid_3514,0,0,235,3.52,84.0,1.1,null,null,null,null,null,null,null,null,null,null,none,none,none,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0,0,0,0,0,null
fid_3264,0,0,235,3.4,71.0,-.6,null,null,null,null,null,null,null,null,null,null,none,none,none,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0,0,0,0,0,null
fid_4047,0,0,235,2.86,58.0,-1,null,null,null,null,null,null,null,null,null,null,none,none,none,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0,0,0,0,0,null
fid_6208,0,0,235,3.69,76.0,-.8,null,null,null,null,null,null,null,null,null,null,none,none,none,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0,0,0,0,0,null
fid_3554,0,0,235,3.48,45.0,-3.3,null,null,null,null,null,null,null,null,null,null,none,none,none,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0,0,0,0,0,null
fid_2595,0,0,235,3.78,86.0,.5,null,null,null,null,null,null,null,null,null,null,none,none,none,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0,0,0,0,0,null
fid_3511,0,0,235,3.21,73.0,.4,null,null,null,null,null,null,null,null,null,null,none,none,none,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0,0,0,0,0,null
fid_5047,0,0,235,2.92,66.0,-.6,null,null,null,null,null,null,null,null,null,null,none,none,none,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0,0,0,0,0,null
fid_3799,0,0,235,3.68,78.0,-.3,null,null,null,null,null,null,null,null,null,null,none,none,none,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0,0,0,0,0,null
fid_3846,0,0,235,3.56,75.0,-.5,null,null,null,null,null,null,null,null,null,null,none,none,none,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0,0,0,0,0,null
fid_1998,0,0,235,3.59,70.0,-1,null,null,null,null,null,null,null,null,null,null,none,none,none,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0,0,0,0,0,null
fid_5470,0,0,235,3.88,86.0,.2,null,null,null,null,null,null,null,null,null,null,none,none,none,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0,0,0,0,0,null
fid_2815,0,0,235,3.36,72.0,-.5,null,null,null,null,null,null,null,null,null,null,none,none,none,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0,0,0,0,0,null
fid_5212,0,0,235,3.77,70.0,-1.5,null,null,null,null,null,null,null,null,null,null,none,none,none,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0,0,0,0,0,null
fid_4074,0,0,235,3.55,65.0,-1.9,null,null,null,null,null,null,null,null,null,null,none,none,none,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0,0,0,0,0,null
fid_5366,0,0,235,3.27,67.0,-.8,null,null,null,null,null,null,null,null,null,null,none,none,none,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0,0,0,0,0,null
fid_5963,0,0,235,3.55,74.0,-.4,null,null,null,null,null,null,null,null,null,null,none,none,none,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0,0,0,0,0,null
fid_4043,0,0,235,3.08,72.0,.1,null,null,null,null,null,null,null,null,null,null,none,none,none,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0,0,0,0,0,null
fid_2403,0,0,235,3.09,58.0,-1.4,null,null,null,null,null,null,null,null,null,null,none,none,none,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0,0,0,0,0,null
fid_4469,0,0,235,3.22,70.0,-.2,null,null,null,null,null,null,null,null,null,null,none,none,none,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0,0,0,0,0,null
fid_2448,0,0,235,4.0,91.0,.3,null,null,null,null,null,null,null,null,null,null,none,none,none,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0,0,0,0,0,null
fid_2474,0,0,235,2.78,56.0,-.8,null,null,null,null,null,null,null,null,null,null,none,none,none,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0,0,0,0,0,null
fid_2309,0,0,235,3.96,89.0,.4,null,null,null,null,null,null,null,null,null,null,none,none,none,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0,0,0,0,0,null
fid_5851,0,0,235,3.17,82.0,1.9,null,null,null,null,null,null,null,null,null,null,none,none,none,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0,0,0,0,0,null
